Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Speed
15.6,85.76996878299572,217.71429088363507,128.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.7,86.31977627519441,219.10989531237632,128.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.8,86.86958376739311,220.50549974111757,129.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
15.9,87.4193912595918,221.90110416985883,129.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.0,87.9691987517905,223.29670859860008,130.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.1,88.5190062439892,224.69231302734133,130.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.2,89.06881373618789,226.08791745608258,131.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.3,89.61862122838659,227.48352188482383,131.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.4,90.16842872058528,228.87912631356508,132.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.5,90.71823621278398,230.27473074230633,132.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.6,91.26804370498267,231.67033517104758,133.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.7,91.81785119718137,233.06593959978883,133.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.8,92.36765868938006,234.46154402853008,134.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
16.9,92.91746618157876,235.85714845727134,134.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.0,93.46727367377746,237.2527528860126,135.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.1,94.01708116597615,238.64835731475384,135.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.2,94.56688865817485,240.0439617434951,136.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.3,95.11669615037354,241.43956617223634,136.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.4,95.66650364257224,242.8351706009776,137.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.5,96.21631113477093,244.23077502971884,137.5,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.6,96.76611862696963,245.6263794584601,138.0,-0.13,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.7,97.31592611916832,247.02198388720134,138.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.8,97.86573361136702,248.4175883159426,139.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
17.9,98.41554110356572,249.81319274468385,139.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.0,98.96534859576441,251.2087971734251,140.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.1,99.5151560879631,252.60440160216635,140.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.2,100.0649635801618,254.0000060309076,141.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.3,100.6147710723605,255.39561045964885,141.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.4,101.16457856455919,256.7912148883901,142.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.5,101.71438605675789,258.1868193171313,142.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.6,102.26419354895658,259.5824237458726,143.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.7,102.81400104115528,260.9780281746138,143.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.8,103.36380853335397,262.3736326033551,144.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
18.9,103.91361602555267,263.7692370320963,144.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.0,104.46342351775137,265.1648414608376,145.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.1,105.01323100995006,266.56044588957883,145.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.2,105.56303850214876,267.9560503183201,146.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.3,106.11284599434745,269.35165474706133,146.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.4,106.66265348654615,270.7472591758026,147.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.5,107.21246097874484,272.14286360454383,147.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.6,107.76226847094354,273.5384680332851,148.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.7,108.31207596314223,274.93407246202634,148.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.8,108.86188345534093,276.3296768907676,149.0,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
19.9,109.41169094753963,277.72528131950884,149.5,-0.12,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.0,109.96149843973832,279.1208857482501,150.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.1,110.51130593193702,280.51649017699134,150.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.2,111.06111342413571,281.9120946057326,151.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.3,111.61092091633441,283.30769903447384,151.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.4,112.1607284085331,284.7033034632151,152.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.5,112.7105359007318,286.09890789195634,152.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.6,113.2603433929305,287.4945123206976,153.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.7,113.81015088512919,288.89011674943885,153.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.8,114.35995837732789,290.2857211781801,154.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
20.9,114.90976586952658,291.68132560692135,154.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.0,115.45957336172528,293.0769300356626,155.0,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
21.1,116.00938085392397,294.47253446440385,155.5,-0.11,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
